"","zcta","total population","Death Count","non-Hisp White","non-Hisp Black","Hisp or Latino","Poverty","Edu1","male1","male2","male3","male4","male5","male6","male7","male8","female1","female2","female3","female4","female5","female6","female7","female8"
"1094",94610,29287,188.333333333333,15497,5329,2494,2436,997,764,1123,2200,4134,3026,1526,487,373,763,1098,2800,4641,3334,1642,665,711
"1095",94611,36565,264.666666666667,23942,2964,2422,2736,1134,1039,1903,2172,3973,4225,2316,1013,704,932,1862,2587,4445,4560,2490,1146,1198
"1096",94612,14389,153.666666666667,3443,4154,1770,3319,2180,257,367,1532,2033,1656,774,509,348,269,377,1626,1671,1121,610,612,627
"1097",94613,715,0.333333333333333,335,69,165,4,18,0,0,62,8,3,1,0,0,1,6,594,21,16,1,1,1
"1098",94618,16046,83.6666666666666,11663,770,1069,836,265,520,699,1076,1895,1674,963,434,203,487,776,1344,2175,1808,1179,455,358
"1099",94619,23299,163,6958,6093,3756,3083,2527,770,1275,2020,2358,2398,1194,522,304,664,1254,2140,2725,3028,1486,608,553
"1100",94621,29870,203,675,10534,16381,8674,6827,1407,2606,3927,3318,2256,722,337,216,1369,2483,3769,3182,2421,879,561,417
"1101",94702,15979,128.333333333333,7386,3502,2233,2006,1108,459,699,1687,1831,1538,764,320,222,426,658,1561,2018,1850,982,465,499
"1102",94703,19846,111,9969,3541,2539,3892,1148,521,905,2684,2294,1945,886,330,178,496,831,2534,2337,1998,1078,440,389
"1103",94704,25592,52,10882,1126,2648,7192,230,134,172,9624,1318,895,470,156,82,105,169,10089,940,693,380,149,216
"1104",94705,12762,90.6666666666667,9403,475,804,1022,159,284,497,1312,1191,1320,843,417,217,242,532,1419,1270,1470,945,423,380
"1105",94706,19615,83.6666666666666,9876,684,1968,1567,658,747,1337,1550,2449,1870,825,326,218,723,1307,1565,2707,2200,1018,407,366
"1106",94707,11710,85.6666666666667,9145,235,612,507,153,270,615,606,860,1362,993,500,276,255,672,645,938,1594,1141,575,408
"1107",94708,10985,72.3333333333333,8529,204,545,616,67,262,531,622,892,1288,903,500,336,235,529,562,966,1382,1052,527,398
"1108",94709,11806,36.3333333333333,7110,325,868,2308,173,157,233,3031,1187,712,464,180,119,121,182,2866,982,700,456,227,189
"1109",94710,6948,32.3333333333333,2518,1497,1817,1309,677,222,410,781,852,740,312,101,51,179,367,754,848,793,301,132,105
"1110",94720,2964,0.333333333333333,1130,83,397,22,11,22,13,1257,91,8,6,1,0,23,12,1445,72,11,2,1,0
"1111",94801,29395,170,3520,6238,17157,7138,5674,1299,2371,3479,3381,2578,1007,423,221,1290,2277,3418,3194,2494,1117,521,325
"1112",94803,24904,186.666666666667,9041,3958,5143,1995,1992,617,1490,2340,2257,2968,1488,656,311,706,1373,2225,2409,3295,1522,716,531
"1113",94804,38559,303.333333333333,6061,12163,14818,7582,5114,1548,2649,4152,4303,3428,1396,667,370,1467,2518,4291,4369,3952,1811,952,686
"1114",94805,13648,94.3333333333333,4603,1987,4287,1415,1373,428,799,1269,1461,1548,641,272,165,413,817,1212,1462,1687,837,320,317
"1115",94806,59861,367.666666666667,8023,11533,27715,8725,10811,2250,4329,7124,6529,5447,2022,1090,574,2195,4109,6950,6523,5777,2599,1390,953
"1116",94850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1117",94901,41157,223.666666666667,22370,646,14807,4783,4977,1422,2185,4813,5086,4144,2053,964,562,1350,2082,3783,4291,4216,2282,1041,883
"1118",94903,29040,364.333333333333,21230,563,3945,1759,1715,732,1632,2089,2554,3245,1559,880,875,658,1577,1843,2617,3697,1878,1312,1892
"1119",94904,11995,111,10090,137,789,580,400,291,789,608,881,1328,807,437,361,296,724,659,1006,1699,907,551,651
"1120",94920,12474,88.6666666666667,10737,86,550,518,200,338,900,505,828,1389,954,585,299,337,891,537,1079,1694,1067,633,438
"1121",94922,425,4,308,1,101,28,0,14,15,35,45,52,39,10,5,9,26,39,33,49,38,9,7
"1122",94923,1411,10.3333333333333,1179,6,140,37,50,10,49,89,89,166,177,105,36,27,37,59,92,177,175,90,33
"1123",94924,1638,9.33333333333333,1273,9,260,264,18,42,68,121,162,228,198,46,13,29,63,81,140,197,183,44,23
"1124",94925,9253,66.6666666666667,7364,79,772,261,367,295,689,489,823,1093,485,271,171,282,697,519,967,1300,580,322,270
"1125",94928,43170,265,28793,756,9317,4804,3209,1174,2398,6571,3979,4139,1477,606,387,1131,2305,7338,3738,4560,1733,855,779
"1126",94929,264,3.33333333333333,238,0,9,0,0,3,7,8,13,40,34,18,6,2,6,11,18,38,39,12,9
"1127",94930,8500,54.6666666666667,7282,107,563,641,77,188,493,548,800,1211,602,214,88,202,478,479,885,1311,618,249,134
"1128",94931,8470,54.6666666666666,6219,131,1421,877,626,211,541,929,833,962,359,146,75,251,484,933,890,1102,432,180,142
"1129",94933,865,3.33333333333333,748,16,68,143,130,13,50,56,55,160,67,16,5,17,56,57,66,153,65,18,11
"1130",94937,837,11.3333333333333,671,4,139,159,112,10,27,30,64,98,93,44,19,17,33,42,77,101,117,42,23
"1131",94938,812,2,705,6,64,38,21,18,40,48,79,102,77,20,15,20,50,41,67,130,77,16,12
"1132",94939,6859,31.6666666666667,5822,74,451,269,113,172,389,402,596,854,449,215,105,160,409,395,711,1014,578,245,165
"1133",94940,268,3.66666666666667,223,0,38,10,10,5,19,10,27,38,23,11,5,5,9,7,24,40,30,9,6
"1134",94941,30496,197.333333333333,25473,317,1552,1253,516,979,2070,1501,2592,3828,2003,914,530,934,2036,1551,3289,4197,2271,948,853
"1135",94945,17167,104.666666666667,11977,294,3304,1004,1182,436,1069,1399,1538,2083,1134,531,257,428,1010,1214,1580,2330,1231,549,378
"1136",94946,699,3.33333333333334,586,5,82,27,25,11,45,46,74,91,71,21,6,10,44,44,54,106,50,17,9
"1137",94947,24283,194,16794,581,4583,1537,1441,660,1495,1958,2114,2862,1448,696,426,622,1520,1806,2304,3144,1624,853,751
"1138",94949,17202,112,11012,491,3803,1337,872,629,1260,1309,1676,1768,914,470,265,560,1112,1142,1825,2034,1115,655,468
"1139",94950,89,1,71,0,14,22,0,1,6,6,7,13,6,2,5,2,3,7,5,13,8,2,3
"1140",94951,4124,30,3391,34,459,247,99,81,229,383,338,565,307,115,54,77,227,359,349,566,282,113,79
"1141",94952,32858,256.333333333333,25281,289,5475,2555,2097,910,1999,3183,3164,3960,1922,732,483,826,1882,2703,3080,4274,1979,955,806
"1142",94954,37365,279.666666666667,24507,530,8979,3180,3210,1149,2648,3664,3704,4268,1640,792,471,1125,2516,3294,3693,4458,1837,1074,1032
"1143",94956,1756,13.3333333333333,1343,12,339,141,122,45,84,98,128,178,166,67,35,42,93,97,152,237,200,80,54
"1144",94957,1332,4.66666666666667,1217,2,49,44,37,31,116,80,74,173,83,52,30,38,125,69,101,181,89,57,33
"1145",94960,15740,78,13681,112,852,1038,481,455,1102,898,1252,2085,1026,400,181,462,1133,924,1548,2393,1075,451,355
"1146",94963,569,2.66666666666667,514,5,26,8,0,11,27,34,27,81,65,26,4,10,32,26,49,97,56,14,10
"1147",94964,5094,10.3333333333333,1703,1994,994,0,1581,4,17,1116,1944,1633,232,24,0,5,9,23,31,44,9,2,1
"1148",94965,10847,58.3333333333333,8019,1070,694,1509,205,273,333,537,1170,1311,949,388,152,268,303,619,1383,1561,1038,376,186
"1149",94970,683,4.66666666666667,613,4,33,47,30,8,19,32,48,97,93,24,15,7,22,34,54,99,82,36,13
"1150",94971,337,1.33333333333333,295,2,27,0,0,6,18,15,26,46,26,13,6,2,17,22,30,61,27,15,7
"1151",94972,52,3.33333333333333,24,0,24,0,0,2,0,12,4,8,2,1,1,1,3,5,6,4,1,2,0
"1152",94973,1429,6.99999999999999,1257,4,83,26,49,24,80,78,109,195,149,37,18,25,76,66,133,232,148,39,20
"1153",95002,2077,9.66666666666666,352,43,1270,219,255,74,152,236,246,230,72,32,18,59,155,203,231,221,78,50,20
"1154",95003,23974,172.666666666667,19386,165,2819,2396,913,559,1319,1933,1932,3076,1703,650,437,561,1329,1761,2138,3370,1739,811,656
"1155",95004,3918,26.6666666666667,2301,20,1395,177,191,91,250,376,291,576,243,99,37,99,253,334,304,595,210,106,54
"1156",95005,6311,29.3333333333333,5447,35,515,433,80,150,371,588,590,919,410,115,59,148,337,488,595,975,388,111,67
"1157",95006,8979,47.3333333333333,7726,66,687,534,395,245,431,687,894,1571,623,136,75,199,375,645,855,1471,561,134,77
"1158",95007,676,3.66666666666666,556,1,83,47,0,17,57,58,75,97,35,6,5,23,42,55,66,91,37,7,5
"1159",95008,45260,259,26081,1271,8172,3085,2240,1490,2581,4446,5431,5176,1610,936,565,1424,2478,4225,5464,5213,1955,1247,1019
"1160",95010,9137,87.6666666666667,6618,102,1717,999,541,239,438,931,898,975,502,181,155,208,359,935,907,1135,593,318,363
"1161",95012,10320,45.3333333333333,1482,76,8354,1612,3005,494,929,1432,1053,848,302,136,70,472,872,1289,1029,806,303,191,94
"1162",95013,80,0.666666666666666,27,0,48,0,0,2,3,13,8,11,3,4,2,0,7,7,7,8,4,0,1
"1163",95014,60717,287.666666666666,17813,367,2316,2539,1373,1712,5228,4827,6627,7206,2138,1383,885,1599,5082,4111,7659,6760,2396,1645,1459
"1164",95017,834,3,542,12,228,66,34,19,42,95,83,139,66,12,3,18,37,63,76,103,48,20,10
"1165",95018,7778,39,6687,53,608,475,280,174,420,697,768,1183,496,120,49,181,414,633,772,1154,462,142,113
"1166",95019,7727,44.6666666666667,976,46,6428,1695,2081,364,684,1021,826,567,200,119,61,377,678,919,789,583,261,163,115
"1167",95020,57349,272,19233,774,32129,5883,7911,2303,4888,6092,6187,5540,2168,945,484,2362,4743,5735,6165,5609,2148,1173,807
"1168",95023,48841,229,17654,306,28667,5622,7976,1877,4262,5312,4962,4899,1772,859,485,1833,3953,5026,5075,4979,1839,926,782
"1169",95030,12791,103.333333333333,10543,57,642,587,159,259,843,786,887,1791,854,478,291,217,822,779,1060,1891,886,496,451
