"","ZIP","AGE.SEX","Death"
"615",90041,7,18.6666666666667
"616",90041,8,37.3333333333333
"617",90041,9,0
"618",90041,10,0
"619",90041,11,1
"620",90041,12,0.666666666666667
"621",90041,13,7
"622",90041,14,8.66666666666667
"623",90041,15,16.6666666666667
"624",90041,16,70.3333333333333
"625",90042,1,4
"626",90042,2,0.666666666666667
"627",90042,3,7.33333333333333
"628",90042,4,10.3333333333333
"629",90042,5,31
"630",90042,6,30.3333333333333
"631",90042,7,30.6666666666667
"632",90042,8,43.6666666666667
"633",90042,9,3
"634",90042,10,0.333333333333333
"635",90042,11,1.33333333333333
"636",90042,12,2.66666666666667
"637",90042,13,19
"638",90042,14,19.3333333333333
"639",90042,15,21.3333333333333
"640",90042,16,67
"641",90043,1,3.33333333333333
"642",90043,2,1
"643",90043,3,7
"644",90043,4,9
"645",90043,5,36.6666666666667
"646",90043,6,35.6666666666667
"647",90043,7,47.3333333333333
"648",90043,8,59.6666666666667
"649",90043,9,1.66666666666667
"650",90043,10,0.333333333333333
"651",90043,11,2.33333333333333
"652",90043,12,7.33333333333333
"653",90043,13,28.3333333333333
"654",90043,14,32.6666666666667
"655",90043,15,42
"656",90043,16,98
"657",90044,1,6
"658",90044,2,0.666666666666667
"659",90044,3,22
"660",90044,4,27.3333333333333
"661",90044,5,71
"662",90044,6,45.3333333333333
"663",90044,7,54
"664",90044,8,51.3333333333333
"665",90044,9,6.33333333333333
"666",90044,10,0.666666666666667
"667",90044,11,5.33333333333333
"668",90044,12,12
"669",90044,13,45.3333333333333
"670",90044,14,40
"671",90044,15,46
"672",90044,16,82
"673",90045,1,0.666666666666667
"674",90045,2,0.333333333333333
"675",90045,3,4
"676",90045,4,4.33333333333333
"677",90045,5,15
"678",90045,6,15.6666666666667
"679",90045,7,19.6666666666667
"680",90045,8,63
"681",90045,9,0.666666666666667
"682",90045,10,0
"683",90045,11,0.333333333333333
"684",90045,12,5
"685",90045,13,11.3333333333333
"686",90045,14,11.3333333333333
"687",90045,15,17.3333333333333
"688",90045,16,78.6666666666667
"689",90046,1,0.666666666666667
"690",90046,2,0
"691",90046,3,2
"692",90046,4,9.66666666666667
"693",90046,5,21
"694",90046,6,25.6666666666667
"695",90046,7,34.3333333333333
"696",90046,8,91.3333333333333
"697",90046,9,0.333333333333333
"698",90046,10,0
"699",90046,11,2
"700",90046,12,4.66666666666667
"701",90046,13,8
"702",90046,14,15.6666666666667
"703",90046,15,32
"704",90046,16,121.666666666667
"705",90047,1,4
"706",90047,2,1
"707",90047,3,14.6666666666667
"708",90047,4,13.3333333333333
"709",90047,5,40.6666666666667
"710",90047,6,37
"711",90047,7,46.6666666666667
"712",90047,8,61.6666666666667
"713",90047,9,3.66666666666667
"714",90047,10,0.666666666666667
"715",90047,11,4.33333333333333
"716",90047,12,9.66666666666667
"717",90047,13,33
"718",90047,14,32.6666666666667
"719",90047,15,58.3333333333333
"720",90047,16,96
"721",90048,1,0.333333333333333
"722",90048,2,0
"723",90048,3,1.33333333333333
"724",90048,4,2.33333333333333
"725",90048,5,10.3333333333333
"726",90048,6,10
"727",90048,7,13
"728",90048,8,51.3333333333333
"729",90048,9,0.333333333333333
"730",90048,10,0
"731",90048,11,0.666666666666667
"732",90048,12,1.66666666666667
"733",90048,13,4.33333333333333
"734",90048,14,4.33333333333333
"735",90048,15,12.6666666666667
"736",90048,16,82
"737",90049,1,0.333333333333333
"738",90049,2,0
"739",90049,3,1
"740",90049,4,2.66666666666667
"741",90049,5,5.33333333333333
"742",90049,6,9.66666666666667
"743",90049,7,12.6666666666667
"744",90049,8,81
"745",90049,9,1
"746",90049,10,0.333333333333333
"747",90049,11,0.666666666666667
"748",90049,12,1.33333333333333
"749",90049,13,5.66666666666667
"750",90049,14,11.6666666666667
"751",90049,15,16.3333333333333
"752",90049,16,91.3333333333333
"753",90056,1,0.333333333333333
"754",90056,2,0.333333333333333
"755",90056,3,0.666666666666667
"756",90056,4,3
"757",90056,5,3.66666666666667
"758",90056,6,6.33333333333333
"759",90056,7,11.3333333333333
"760",90056,8,23
"761",90056,9,0
"762",90056,10,0
"763",90056,11,0.333333333333333
"764",90056,12,1.66666666666667
"765",90056,13,4
"766",90056,14,4.66666666666667
"767",90056,15,6
"768",90056,16,28
