"","GEOID","Pop2010","AnnualDeathPerCap","BothShareUnder30","BothShare30To60","BothShareOver50","BothShareOver60","BothShareOver70","BothShareOver80","WhiteShare","BlackShare","HispanicShare","Edu1Share","Edu1to2Share","PovertyShare","Poverty2Share","Income_Less20KShare","Income_Less30KShare","Income_Less40KShare","Income_Less50KShare","Income_Less60KShare","Income_Less75KShare","Income_Less100KShare","UnemployedShare"
"500","92363",5321,0.0107749169955522,0.39785754557414,0.371734636346551,0.376245066716783,0.230407818079308,0.106370982897952,0.0381507235482052,0.630896448036083,0.0176658522834054,0.218943807554971,0.216216216216216,0.558460634547591,0.297523883798011,0.561512965490349,0.310262529832936,0.490214797136038,0.624343675417661,0.667303102625298,0.720286396181384,0.797613365155131,0.878758949880668,0.0777636594663278
"501","92364",90,0.0037037037037037,0.388888888888889,0.366666666666667,0.466666666666667,0.244444444444444,0.0777777777777778,0.0333333333333333,0.6,0.0222222222222222,0.244444444444444,0,0.137931034482759,0.4,0.5,0,0.36,0.48,0.68,0.68,0.68,0.68,0
"502","92365",2637,0.0108709391985842,0.348502085703451,0.401213500189609,0.417899127796739,0.25028441410694,0.103147516116799,0.0329920364050057,0.678801668562761,0.0291998483124763,0.24649222601441,0.257671699951291,0.507062834875792,0.264785859959211,0.486743711760707,0.228241563055062,0.413854351687389,0.564831261101243,0.613676731793961,0.689165186500888,0.880994671403197,0.962699822380107,0.0717905405405405
"503","92368",1113,0.00628930817610063,0.470799640610961,0.356693620844564,0.307277628032345,0.172506738544474,0.0799640610961366,0.0170709793351303,0.412398921832884,0.00898472596585804,0.530098831985624,0.308724832214765,0.695302013422819,0.222941720629047,0.516188714153561,0.303523035230352,0.544715447154472,0.642276422764228,0.669376693766938,0.742547425474255,0.785907859078591,0.869918699186992,0.104477611940299
"504","92371",16763,0.00570701346218855,0.420091868997196,0.419197041102428,0.316470798783034,0.160711089900376,0.068961403090139,0.0209389727375768,0.624828491320169,0.0168227644216429,0.293622859869952,0.177559343302311,0.576283593014744,0.171777457638746,0.36681072923098,0.185504918691026,0.311584019273238,0.40172656093154,0.49086528809476,0.565749849427826,0.658903834571371,0.802248544468982,0.087132140796307
"505","92372",6220,0.00632368703108253,0.378456591639871,0.427974276527331,0.37491961414791,0.193569131832797,0.0847266881028939,0.0245980707395498,0.703536977491961,0.00836012861736334,0.235209003215434,0.184058730991085,0.536182485579444,0.181696599159343,0.447649980894154,0.235503560528993,0.436419125127162,0.533570701932859,0.593082400813835,0.634791454730417,0.679043743641913,0.829094608341811,0.106088992974239
"506","92373",33423,0.0100928502328736,0.378511803249259,0.402178140801245,0.361906471591419,0.219310055949496,0.114442150614846,0.0536157735690991,0.641713789905155,0.0399724740448194,0.194746132902492,0.068542817679558,0.225958218232044,0.0721877365632097,0.194640423921272,0.129469519343494,0.190943728018757,0.272420867526378,0.360712192262603,0.423358733880422,0.525351699882767,0.677754982415006,0.0453624949372215
"507","92374",40267,0.00586087863511064,0.467554076539102,0.380882608587677,0.280924826781235,0.151563314873221,0.0716715921225818,0.0288077085454591,0.44659398514913,0.0587826259716393,0.388308043807584,0.135844650116772,0.376221780122827,0.136244177877235,0.30746012333793,0.140533712300647,0.21759039949471,0.301910626875099,0.38323069635244,0.471814306016106,0.581399021001105,0.723906521395863,0.0633706548626481
"508","92376",81516,0.00505831166069647,0.534766180872467,0.360444575298101,0.205505667598999,0.104789243829432,0.0464448697188282,0.0156042985426174,0.105598900829285,0.146486579321851,0.709848373325482,0.372370766488414,0.668939393939394,0.192153258187799,0.517548739780369,0.165036554040703,0.29949614700652,0.424125666864256,0.560511756569848,0.63994269907133,0.740861489824145,0.86391029440822,0.0956040421822367
"509","92377",19989,0.00503610319008789,0.467757266496573,0.406673670518785,0.256290960028015,0.125569062984642,0.0516283956175897,0.0155085296913302,0.208414628045425,0.203762069138026,0.527590174596028,0.221219744946647,0.54871172030884,0.0863044136955863,0.281890718109282,0.075969297382405,0.147215115134816,0.194056288132257,0.257429639834678,0.35189923243456,0.468214918323165,0.665617004526668,0.0833623027184871
"510","92378",183,0.0182149362477231,0.409836065573771,0.377049180327869,0.377049180327869,0.213114754098361,0.0437158469945355,0.00546448087431694,0.683060109289617,0.00546448087431694,0.251366120218579,0.310924369747899,0.613445378151261,0.292857142857143,0.292857142857143,0.285714285714286,0.285714285714286,0.285714285714286,0.671428571428571,0.671428571428571,0.857142857142857,1,0
"511","92382",5268,0.00613768666160465,0.361617312072893,0.458048595292331,0.375664388762339,0.180334092634776,0.062452543659833,0.0146165527714503,0.798785117691724,0.00474563401670463,0.13914198936978,0.0458591853250607,0.263555435662261,0.117130580982627,0.255557631234822,0.108695652173913,0.198550724637681,0.267632850241546,0.381159420289855,0.509178743961353,0.61256038647343,0.758937198067633,0.0579607286491602
"512","92384",36,0.00925925925925925,0.138888888888889,0.611111111111111,0.444444444444444,0.25,0.111111111111111,0.0277777777777778,0.888888888888889,0.0277777777777778,0,0.307692307692308,0.769230769230769,0,0.142857142857143,0.3,0.3,0.65,0.65,0.8,0.8,1,0.261904761904762
"513","92385",313,0.00532481363152289,0.335463258785943,0.354632587859425,0.501597444089457,0.309904153354633,0.0638977635782748,0.00958466453674121,0.853035143769968,0.0287539936102236,0.0702875399361022,0.187878787878788,0.539393939393939,0,0,0,0,0.238636363636364,0.238636363636364,0.386363636363636,0.386363636363636,0.852272727272727,0
"514","92386",2270,0.00851688693098384,0.370925110132159,0.43215859030837,0.387665198237885,0.196916299559471,0.0889867841409692,0.0237885462555066,0.762114537444934,0.00352422907488987,0.175330396475771,0.087843137254902,0.352941176470588,0.197374817695673,0.274671852211959,0.215527230590962,0.3117033603708,0.443800695249131,0.637311703360371,0.701042873696408,0.84936268829664,0.95712630359212,0.0647905759162304
"515","92389",156,0.0106837606837607,0.198717948717949,0.378205128205128,0.634615384615385,0.423076923076923,0.237179487179487,0.0769230769230769,0.775641025641026,0.00641025641025641,0.0512820512820513,0.25531914893617,0.595744680851064,0.13265306122449,0.591836734693878,0.4,0.785714285714286,0.785714285714286,1,1,1,1,0
"516","92391",2534,0.00434096290449882,0.431728492501973,0.423441199684294,0.2991318074191,0.144830307813733,0.0631412786108919,0.0189423835832676,0.640094711917916,0.00631412786108919,0.298737174427782,0.215102974828375,0.475972540045767,0.188451443569554,0.615223097112861,0.311543810848401,0.454798331015299,0.549374130737135,0.632823365785814,0.716272600834492,0.716272600834492,0.852573018080668,0.106091718001369
"517","92392",54858,0.00625250647125305,0.507546757081921,0.380856028291225,0.219639797294834,0.111597214626855,0.0499835940063437,0.0156403806190528,0.316161726639688,0.13534944766488,0.469721827263116,0.192562013663099,0.462718737442005,0.169680548192653,0.358858062869372,0.129412566444051,0.221343873517787,0.315932942619599,0.393825814365544,0.505315524056154,0.626414065694425,0.810549270819136,0.0891620743252791
"518","92394",33237,0.00398150655394089,0.502843216896832,0.414959232181003,0.172849535156603,0.0821975509221651,0.0336071245900653,0.0100791286818907,0.219303787947167,0.205854920720883,0.48773956734964,0.24201036493198,0.551824659900669,0.214237069429012,0.470697874475788,0.183320116309807,0.27451757864129,0.367565424266455,0.458762886597938,0.581681205392546,0.722706846418187,0.85289452815226,0.0689805528909043
"519","92395",42400,0.00786163522012579,0.477429245283019,0.350754716981132,0.282688679245283,0.171816037735849,0.0955188679245283,0.0402594339622642,0.390683962264151,0.118985849056604,0.41877358490566,0.228450004009302,0.523213856146259,0.245451063014748,0.520949051905765,0.255055350553506,0.384354243542435,0.486568265682657,0.574243542435424,0.666715867158672,0.766051660516605,0.866863468634686,0.0921163220709363
"520","92397",4894,0.00701539299822912,0.344707805476093,0.441561095218635,0.39926440539436,0.213731099305272,0.0856150388230486,0.024928483857785,0.831426236207601,0.00715161422149571,0.120147118921128,0.0202048159424301,0.28480487129809,0.0382594071894051,0.163338238385537,0.0899847483477377,0.166751398068124,0.249110320284698,0.319267920691408,0.389425521098119,0.475851550584647,0.69242501270971,0.0395785145206888
"521","92398",1379,0.009427121102248,0.395213923132705,0.39811457577955,0.367657722987672,0.206671501087745,0.0841189267585207,0.0290065264684554,0.667875271936186,0.0239303843364757,0.252356780275562,0.189895470383275,0.473867595818815,0.158974358974359,0.447863247863248,0.110497237569061,0.273480662983425,0.31767955801105,0.447513812154696,0.662983425414365,0.790055248618785,0.790055248618785,0.0204081632653061
